NAICS code,Subsector and industry,Total (trillion Btu),Total unit flag (m = million),Net electricity (million kilowatthours),Residual fuel oil (million barrels),Distillate fuel oil (million barrels),Natural gas (billion cubic feet),Natural gas unit flag (m = million),HGL natural gasoline (million barrels),Coal (million short tons),Coke and breeze (million short tons),Hydrogen (trillion Btu),Other unit flag (m = million),Other (trillion Btu),Net steam unit flag (m = million),Net steam and byproduct gases (trillion Btu)
,,Total United States,,,,,,,,,,,,,,
   327993,   Mineral Wool,17,,1421,0,*,11,,*,*,*,,,*,,0
331,Primary Metals,398,,48057,0,1,199,,*,*,*,,,7,,*
   331110,   Iron and Steel Mills and Ferroalloys,227,,27780,0,*,112,,*,*,*,,,4,,0
 3312, Steel Products from Purchased Steel,19,,2028,0,*,9,,*,0,0,,,*,,0
 3313, Alumina and Aluminum Production and Processing,102,,11338,0,*,58,,*,0,0,,,3,,*
   331314,   Secondary Smelting and Alloying of Aluminum,11,,281,0,*,9,,*,0,0,,,*,,0
   331315,"   Aluminum Sheet, Plate and Foils",35,,2665,0,*,25,,*,0,0,,,*,,*
   331318,"   Other Aluminum Rolling, Drawing and Extruding",D,,D,0,*,7,,*,0,0,,,*,,0
 3314, Nonferrous Metal (except Aluminum) Production and Processing,31,,4679,0,*,11,,*,0,*,,,*,,0
   331410,   Nonferrous Metal (except Aluminum) Smelting and Refining,12,,2777,0,*,2,,*,0,0,,,*,,0
 3315, Foundries,19,,2233,0,*,9,,*,*,*,,,*,,0
   331511,   Iron Foundries,8,,1116,0,*,3,,*,*,*,,,*,,0
   331523,   Nonferrous Metal Die-Casting Foundries,6,,612,0,*,4,,*,0,0,,,*,,0
   331524,"   Aluminum Foundries, except Die-Casting",1,,87,0,*,*,,*,0,0,,,0,,0
332,Fabricated Metal Products,Q,,13761,0,*,Q,,*,0,0,,,Q,,0
333,Machinery,35,,6171,0,*,12,,*,0,0,,,*,,0
334,Computer and Electronic Products,34,,7561,0,*,7,,*,0,0,,,*,,0
   334413,   Semiconductors and Related Devices,24,,5437,0,*,5,,*,0,0,,,*,,0
335,"Electrical Equipment, Appliances, and Components",35,,5248,0,*,16,,*,0,0,,,*,,0
336,Transportation Equipment,98,,15992,*,*,36,,*,0,0,,,4,,0
   336110,   Automobile and Light Duty Motor Vehicle Manufacturing,32,,3811,0,*,14,,*,0,0,,,4,,0
 3364, Aerospace Product and Parts,17,,3188,0,*,5,,*,0,0,,,*,,0
   336411,   Aircraft,6,,1107,0,*,2,,*,0,0,,,*,,0
337,Furniture and Related Products,Q,,Q,0,*,4,,*,*,0,,,3,,0
339,Miscellaneous,12,,2824,0,*,2,,*,0,0,,,*,,0
,Total,11785,m,353173,4,7,4267,m,943,8,*,18,m,3562,,637
,,West Census Region,,,,,,,,,,,,,,
311,Food,184,,13147,*,1,123,,*,*,*,,,2,,0
 3112, Grain and Oilseed Milling,6,,756,*,*,3,,*,0,0,,,*,,0
   311221,   Wet Corn Milling and Starch Manufacturing,*,,17,0,0,*,,*,0,0,,,0,,0
  31131,  Sugar Manufacturing,23,,293,0,*,18,,*,*,*,,,*,,0
 3114, Fruit and Vegetable Preserving and Specialty Food ,54,,3338,0,*,40,,*,0,0,,,1,,0
 3115, Dairy Product Manufacturing,46,,3922,0,*,31,,*,0,0,,,*,,0
 3116, Animal Slaughtering and Processing,22,,1691,0,*,15,,*,0,0,,,*,,0
312,Beverage and Tobacco Products,25,,2833,0,*,14,,*,0,0,,,*,,0
 3121, Beverages,25,,2830,0,*,14,,*,0,0,,,*,,0
 3122, Tobacco ,*,,2,0,0,*,,0,0,0,,,0,,0
313,Textile Mills,2,,312,0,0,1,,*,0,0,,,*,,0
314,Textile Product Mills,2,,203,0,0,1,,*,0,0,,,0,,0
315,Apparel,*,,47,0,0,*,,0,0,0,,,0,,0
316,Leather and Allied Products,*,,24,0,0,*,,*,0,0,,,0,,0
321,Wood Products,92,,4303,0,*,16,,*,0,0,,,57,,0
   321113,   Sawmills,59,,1918,0,*,4,,*,0,0,,,46,,0
 3212," Veneer, Plywood, and Engineered Wood Product Manufacturing",24,,1481,0,*,8,,*,0,0,,,10,,0
   321219,   Reconstituted Wood Products,4,,443,0,*,2,,*,0,0,,,1,,0
 3219, Other Wood Products,8,,811,0,*,4,,*,0,0,,,1,,0
322,Paper,165,,6795,*,*,55,,*,*,0,,,81,,0
   322110,   Pulp Mills,7,,87,*,*,*,,0,0,0,,,6,,0
   322120,   Paper Mills,59,,3664,0,*,21,,*,0,0,,,25,,0
   322130,   Paperboard Mills,88,,2284,*,*,26,,*,*,0,,,51,,0
323,Printing and Related Support,5,,832,0,0,2,,*,0,0,,,0,,0
324,Petroleum and Coal Products,970,m,6041,*,*,327,m,3,*,0,7,m,586,,Q
   324110,   Petroleum Refineriesl,859,m,5507,*,*,317,m,3,0,0,7,m,494,,0
   324121,   Asphalt Paving Mixture and Block,76,,337,*,*,7,,*,0,0,,,69,,Q
   324122,   Asphalt Shingle and Coating Materials,25,,126,0,*,1,,*,0,0,,,24,,0
   324191,   Petroleum Lubricating Oil and Grease Manufacturing,*,,21,0,0,*,,*,0,0,,,0,,0
   324199,   All Other Petroleum and Coal Products Manufacturing,9,,50,0,0,2,,*,*,0,,,0,,0
325,Chemicals,188,,11184,0,*,90,,*,1,0,,,25,,2
   325110,   Petrochemicals,*,,*,0,0,0,,0,0,0,,,0,,0
   325120,   Industrial Gases,36,,2964,0,0,26,,*,0,0,,,0,,2
   325180,   Other Basic Inorganic Chemical Manufacturing,55,,3326,0,*,17,,*,1,0,,,2,,0
   325193,   Ethyl Alcohol ,10,,238,0,*,8,,*,0,0,,,2,,0
   325194,"   Cyclic Crudes, Intermediate and Gum and Wood Chemicals",20,,189,0,*,2,,*,*,0,,,11,,0
   325199,   All Other Basic Organic Chemical Manufacturing,30,,631,0,*,20,,*,0,0,,,7,,0
   325211,   Plastics Materials and Resins,3,,332,0,*,1,,*,0,0,,,*,,0
   325212,   Synthetic Rubber,*,,27,0,0,*,,*,0,0,,,*,,0
   325220,   Artificial and Synthetic Fibers and Filaments,*,,1,0,0,*,,*,0,0,,,0,,0
   325311,   Nitrogenous Fertilizers,10,,654,0,*,6,,*,0,0,,,*,,0
   325312,   Phosphatic Fertilizers,3,,249,0,*,2,,*,0,0,,,*,,0
 3254, Pharmaceuticals and Medicines,12,,1815,0,*,5,,*,0,0,,,*,,0
   325412,   Pharmaceutical Preparation,6,,1063,0,*,3,,*,0,0,,,0,,0
   325992,"   Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing",2,,154,0,*,1,,*,0,0,,,*,,0
326,Plastics and Rubber Products,23,,5166,0,0,Q,,*,0,0,,,*,,0
327,Nonmetallic Mineral Products,281,,11458,0,*,73,,*,3,*,,,Q,,*
   327120 ,   Clay Building Material and Refractories,2,,57,0,*,2,,*,0,0,,,*,,0
   327211,   Flat Glass,5,,190,0,0,4,,*,0,0,,,0,,0
   327212,   Other Pressed and Blown Glass and Glassware,1,,81,0,*,1,,*,0,0,,,0,,0
   327213,   Glass Containers,12,,876,0,*,9,,*,0,0,,,*,,0
   327215,   Glass Products from Purchased Glass,2,,289,0,0,1,,*,0,0,,,*,,0
   327310,   Cements,84,,3208,0,*,12,,*,2,*,,,10,,0
   327410,   Lime,11,,174,0,*,1,,*,*,*,,,2,,0
   327420,   Gypsum,15,,308,0,*,13,,*,0,0,,,*,,0
   327993,   Mineral Wool,4,,530,0,*,2,,*,0,0,,,*,,0
331,Primary Metals,58,,5946,0,*,33,,*,*,*,,,1,,*
   331110,   Iron and Steel Mills and Ferroalloys,18,,2084,0,*,9,,*,*,0,,,1,,0
 3312, Steel Products from Purchased Steel,7,,535,0,*,4,,*,0,0,,,*,,*
 3313, Alumina and Aluminum Production and Processing,10,,900,0,*,6,,*,0,0,,,*,,0
   331314,   Secondary Smelting and Alloying of Aluminum,1,,35,0,*,1,,*,0,0,,,0,,0
   331315,"   Aluminum Sheet, Plate and Foils",5,,599,0,*,3,,*,0,0,,,0,,0
   331318,"   Other Aluminum Rolling, Drawing and Extruding",3,,266,0,*,2,,*,0,0,,,*,,0
 3314, Nonferrous Metal (except Aluminum) Production and Processing,18,,1910,0,*,10,,*,*,0,,,*,,0
   331410,   Nonferrous Metal (except Aluminum) Smelting and Refining,13,,1332,0,*,8,,*,*,0,,,*,,0
 3315, Foundries,5,,517,0,*,3,,*,0,*,,,*,,0
   331511,   Iron Foundries,2,,125,0,*,1,,*,0,*,,,*,,0
   331523,   Nonferrous Metal Die-Casting Foundries,1,,92,0,*,1,,*,0,0,,,*,,0
   331524,"   Aluminum Foundries, except Die-Casting",*,,31,0,0,*,,*,0,0,,,*,,0
332,Fabricated Metal Products,39,,7047,0,*,13,,*,0,0,,,*,,0
333,Machinery,13,,2285,0,*,4,,*,0,0,,,*,,0
334,Computer and Electronic Products,42,,8386,0,*,11,,*,0,0,,,Q,,0
   334413,   Semiconductors and Related Devices,28,,5360,0,*,7,,*,0,0,,,Q,,0
335,"Electrical Equipment, Appliances, and Components",4,,722,0,*,Q,,*,0,0,,,*,,0
336,Transportation Equipment,26,,4031,0,*,12,,*,0,0,,,*,,0
   336110,   Automobile and Light Duty Motor Vehicle Manufacturing,2,,397,0,*,1,,*,0,0,,,*,,0
 3364, Aerospace Product and Parts,21,,3023,0,*,10,,*,0,0,,,*,,0
   336411,   Aircraft,6,,831,0,*,3,,*,0,0,,,*,,0
337,Furniture and Related Products,3,,356,0,0,1,,*,0,0,,,*,,0
339,Miscellaneous,9,,1543,0,*,3,,*,0,0,,,*,,0
,Total,2130,m,92661,*,2,785,m,5,5,*,7,m,849,,3
